dataset_name,alg_name,fold_num,train_time,infer_time,best_params,accuracy,precision,fpr,tpr,pr_auc,roc_auc
breast-cancer.csv,RBoost,1,13.494305849075317,0.07224905079808729,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 50, 'estimator__model__kappa': 0.007770007770007769, 'estimator__model__T': 3}",0.47619047619047616,0.5172413793103449,0.047619047619047616,0.0,0.33367139959432046,0.4761904761904761
breast-cancer.csv,RBoost,2,13.713948488235474,0.09279415525239089,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 1, 'estimator__model__kappa': 0.3333333333333333, 'estimator__model__T': 5}",0.5,0.47562425683709875,0.0,0.0,0.3103448275862069,0.5
breast-cancer.csv,RBoost,3,13.634696245193481,0.0907141586829876,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 1, 'estimator__model__kappa': 0.3333333333333333, 'estimator__model__T': 5}",0.5777777777777777,0.636604774535809,0.4,0.5555555555555556,0.3516062481579723,0.5777777777777778
breast-cancer.csv,RBoost,4,13.703234195709229,0.0910265692349138,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 1, 'estimator__model__kappa': 0.3333333333333333, 'estimator__model__T': 5}",0.5,0.47562425683709875,0.0,0.0,0.3103448275862069,0.5
breast-cancer.csv,RBoost,5,14.02522897720337,0.13985304996885103,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 100, 'estimator__model__kappa': 0.007770007770007769, 'estimator__model__T': 10}",0.5,0.47562425683709875,0.0,0.0,0.47096964338343655,0.5
breast-cancer.csv,RBoost,6,13.944815635681152,0.14050253506364493,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 100, 'estimator__model__kappa': 0.007770007770007769, 'estimator__model__T': 10}",0.5,0.47562425683709875,0.0,0.0,0.3103448275862069,0.5
breast-cancer.csv,RBoost,7,13.769733428955078,0.09444781712123326,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 1, 'estimator__model__kappa': 0.3333333333333333, 'estimator__model__T': 5}",0.45,0.5476190476190476,0.6,0.5,0.26785714285714285,0.45000000000000007
breast-cancer.csv,RBoost,8,13.984054565429688,0.14357907431466238,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 10, 'estimator__model__kappa': 0.011655011655011654, 'estimator__model__T': 10}",0.5,0.5102040816326531,0.0,0.0,0.30952380952380953,0.5
breast-cancer.csv,RBoost,9,13.717376232147217,0.09174857820783343,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 100, 'estimator__model__kappa': 0.007770007770007769, 'estimator__model__T': 5}",0.5,0.5102040816326531,0.0,0.0,0.2761904761904762,0.5
breast-cancer.csv,RBoost,10,14.031521797180176,0.14735119683401926,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 10, 'estimator__model__kappa': 0.011655011655011654, 'estimator__model__T': 10}",0.475,0.5026455026455027,0.05,0.0,0.2857142857142857,0.475
breast-cancer.csv,LGBoost,1,1.2029743194580078,0.038311399262526934,"{'estimator__model__learning_rate': 0.21354175955467047, 'estimator__model__max_depth': 10, 'estimator__model__n_estimators': 220, 'estimator__model__num_leaves': 18, 'estimator__model__objective': 'binary', 'estimator__model__reg_lambda': 8.624629167005763}",0.5148809523809523,0.621131741821397,0.09523809523809523,0.125,0.27396740990490986,0.5148809523809523
breast-cancer.csv,LGBoost,2,1.1359586715698242,0.037382388937062236,"{'estimator__model__learning_rate': 0.21354175955467047, 'estimator__model__max_depth': 10, 'estimator__model__n_estimators': 220, 'estimator__model__num_leaves': 18, 'estimator__model__objective': 'binary', 'estimator__model__reg_lambda': 8.624629167005763}",0.425,0.4509283819628647,0.15,0.0,0.26762374330966193,0.42500000000000004
breast-cancer.csv,LGBoost,3,1.2258734703063965,0.03967614009462554,"{'estimator__model__learning_rate': 0.1775605554273027, 'estimator__model__max_depth': 14, 'estimator__model__n_estimators': 244, 'estimator__model__num_leaves': 20, 'estimator__model__objective': 'binary', 'estimator__model__reg_lambda': 40.429157365715476}",0.6666666666666666,0.8408488063660479,0.0,0.3333333333333333,0.7561253561253563,0.6666666666666666
