dataset_name,alg_name,fold_num,train_time,infer_time,best_params,accuracy,precision,fpr,tpr,pr_auc,roc_auc
no2.csv,RBoost,1,14.278818130493164,0.09092330932617188,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 100, 'estimator__model__kappa': 0.0044444444444444444, 'estimator__model__T': 10}",0.5,0.25,1.0,1.0,0.5,0.5
no2.csv,RBoost,2,14.401479005813599,0.08840560913085938,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 1, 'estimator__model__kappa': 0.0044444444444444444, 'estimator__model__T': 10}",0.5,0.25,1.0,1.0,0.5,0.5
no2.csv,RBoost,3,14.255285263061523,0.09304523468017578,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 10, 'estimator__model__kappa': 0.006666666666666667, 'estimator__model__T': 10}",0.5,0.25,1.0,1.0,0.5,0.5
no2.csv,RBoost,4,14.300727844238281,0.09372711181640625,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 100, 'estimator__model__kappa': 0.0044444444444444444, 'estimator__model__T': 10}",0.5,0.25,1.0,1.0,0.5,0.5
no2.csv,RBoost,5,14.562933206558228,0.0919198989868164,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 10, 'estimator__model__kappa': 0.006666666666666667, 'estimator__model__T': 10}",0.5,0.25,1.0,1.0,0.5,0.5
no2.csv,RBoost,6,14.064568519592285,0.05848407745361328,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 50, 'estimator__model__kappa': 0.006666666666666667, 'estimator__model__T': 5}",0.5,0.25,1.0,1.0,0.5,0.5
no2.csv,RBoost,7,14.140927791595459,0.056285858154296875,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 100, 'estimator__model__kappa': 0.0044444444444444444, 'estimator__model__T': 5}",0.5,0.25,1.0,1.0,0.5,0.5
no2.csv,RBoost,8,14.329741477966309,0.09143829345703125,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 100, 'estimator__model__kappa': 0.0044444444444444444, 'estimator__model__T': 10}",0.5,0.25,1.0,1.0,0.5,0.5
no2.csv,RBoost,9,14.358797788619995,0.09312629699707031,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 10, 'estimator__model__kappa': 0.006666666666666667, 'estimator__model__T': 10}",0.5,0.25,1.0,1.0,0.5,0.5
no2.csv,RBoost,10,14.055524826049805,0.05771636962890625,"{'estimator__model__verbose': False, 'estimator__model__silent': True, 'estimator__model__reg': 1, 'estimator__model__kappa': 0.3333333333333333, 'estimator__model__T': 5}",0.5,0.2704,1.0,1.0,0.52,0.5
